address,moniker,commission,rank,token,votingPower,timestamp
atonevaloper12fh3e4sj9m3787u4r5zhxx5ghqwf25a8qzatjw, 79anvi ,0.05,87,116166,0.002235,1765152000000
atonevaloper1rhspxhk2sdv45wvygm0vgskzc3689jtmnd0n5s,Shire,0.1,88,112694,0.002169,1765152000000
atonevaloper1p64w6kc8f3le84x4jqytugpqxyrcxfqu26dum6,SECARD,0.1,89,111866,0.002153,1765152000000
atonevaloper1dqw494nd6u7s4gefht9xqfsy9pzmtcmex30jgz,Nurturra ,0.1,90,107021,0.002059,1765152000000
atonevaloper1ahtj0s232nen0agnrf75uvf94prk2gmtp45epn,CoinHunters,0.1,91,106295,0.002046,1765152000000
atonevaloper1zktzg639sqfspncww5qxcefpnf33h8p0wnqka6,NodeRuneR,0.1,92,105096,0.002022,1765152000000
atonevaloper1dh29h674ngeqenmc0d3nuuu8fqvf9u7gwzkdu5,Tanjira,0.05,93,101977,0.001962,1765152000000
atonevaloper1crsm4ds7tgwx6zhea3k3qt0hj82k3k4lq3qj4j, BIERFORGE   REStake,0.05,94,98433,0.001894,1765152000000
atonevaloper10mf53lhx7x2s7vgrulsxq4g2z9n7dm4t472su3,Fluxen  Indonode,0.05,95,92511,0.00178,1765152000000
atonevaloper1vvzwx7kjk9yx27vegp74tqu99k2vlz7treqxfw,TRACE,0.1,96,92503,0.00178,1765152000000
atonevaloper17mggn4znyeyg25wd7498qxl7r2jhgue84urfgn,01node,0.05,97,91366,0.001758,1765152000000
atonevaloper1uuqu7tmepex365vq2pluf25jqvutk8rrq5jvm0,dnsarz,0.09,98,90313,0.001738,1765152000000
atonevaloper1rs3vdtdwq8mnnr92zsgugrrs0zue0ejnkh989j,Stella ,0.1,99,86000,0.001655,1765152000000
atonevaloper1s4rscs2jj7qydkkrsrc52rgvq38wwgrqdnp4sx,Neta DAO,0.05,100,64598,0.001243,1765152000000
atonevaloper1e3vld469ekks28mhtd4aqua3mdaz64qgj2f8cj,MIPEnode,0.1,101,61253,0.001179,1765152000000
atonevaloper14rsukpep0xqynx3jc64tr0h3r394m88caddrms,OWALLET,0.05,101,55986,0.001077,1765152000000
atonevaloper1fg97ymps3jsw8w7m6wtpnhn6faze070jkr9kyu,MictoNode,0.1,101,53288,0.001025,1765152000000
atonevaloper1kdxqxpy55tsm6jjeupqhj6spjp8zwz32fyluru,Winnode,0.1,101,48117,0.000926,1765152000000
atonevaloper1ez8k70qhcnslpc3zqtye5m39c4qp25dgkn7em5,AkatSuki,0.05,101,30252,0.000582,1765152000000
atonevaloper1w2am36drrffjlynrqla9sylpw9gmkn56cg9e3h, AutoStake  Slash Protected,0.05,101,21240,0.000409,1765152000000
atonevaloper1afg0kd08pfpudecmzvqxm0kyzwjtcxwskplvf7,Noderunners,0.05,101,16348,0.000315,1765152000000
atonevaloper10cdyg9tk4fm3ksvk59e0ghaand9ap6ndg87l3h,interchainFM,0.05,101,1570,0.00003,1765152000000
atonevaloper1nlgdsf8kxwtk0u36xd8k29h6s4teaunq0c8x3f,Scafire Node 5 Fee REStake ,0.05,101,726,0.000014,1765152000000
atonevaloper1c0r2r5e3usyjjy55dk5ktql9nc5nljk3hpcpk9,Chainroot,0.05,101,416,0.000008,1765152000000
atonevaloper1slk8a708q5c36e9tgnvx4qhzzg8wmch7r55pa0,Quebec,0.05,101,311,0.000006,1765152000000
atonevaloper16fsd7nrr657599c2ynfeu2df2jyvjeq4e7n770,ApexNodes,0.05,101,300,0.000006,1765152000000
atonevaloper1a88l3m9x09utlrhcmp99uraqa4y3xqs5e7pm6t,SIPALINGTESTNET,0.1,101,200,0.000004,1765152000000
atonevaloper14uurrezjdej0h45cdpdutqg8kgnmvxgacawtnx,tRDM  Nodera,0.07,101,148,0.000003,1765152000000
atonevaloper1vzrj06urfz8rg5cu23cx8eldmqk8kzkgn0uvzm,Antrix Validators,0.05,101,104,0.000002,1765152000000
atonevaloper1mk7tzj7u7am0n8aa6h9xwgqfavec9mjgrhpzpw,Zuka,0.05,101,100,0.000002,1765152000000
atonevaloper1v5rcez3rqu2y5m0t099ht63c3hs0052lv7mvtm,optimulabs  cosmosAf,0.1,101,79,0.000002,1765152000000
atonevaloper19gfvxdfc2p05cr73cm4r685m7a2e90gzjzrggr,Deni13x,0.05,101,55,0.000001,1765152000000
atonevaloper12kgzptjfveea6m060z9qyscwhzawcag9zdrzr7,Nokogirisrv,0.05,101,26,0.000001,1765152000000
atonevaloper10j3kumccxc65m67d6drlv2usmzukvdr5clfqt4,KATOS,0.05,101,25,0,1765152000000
atonevaloper1cunqeg5ydl0zvg5jm748xpc90hsz4ufu58v343,Somatic Labs,0.06942,101,24,0,1765152000000
atonevaloper1zasmztgg6dqjfle59sgwmut4r6gtk0sleg8eyq,MAHOF,0.1,101,18,0,1765152000000
atonevaloper1hgh0pgpjmvcfsyl3qg7axux0fx4q469mzpm90y,HEXXAGON,0.05,101,10,0,1765152000000
atonevaloper1e8tmpgkgdnwvuzv9ep2kw0tje4dpczaunf4gkx,BlockSync,0.05,101,10,0,1765152000000
atonevaloper19rp4ylh4grw46cwch9nkxz8w20w6fw3s2u5hau,Indonode,0.05,101,6,0,1765152000000
atonevaloper1hkleecq07nv3ty80u9mnj84pj87lsmq5llzl79,Curiosity Nodes ,0.05,101,5,0,1765152000000
atonevaloper1r9psxxuyxxrxgdqy68ruyphvxfq99yw27600rh,FIVETECH,0.05,101,3,0,1765152000000
