address,moniker,commission,rank,token,votingPower,timestamp
altheavaloper173y2x6g68w76e4xrat89dsyg7lrhlf6mqh6l6m,ramuchitech,0.1,55,19854,0.004042,1765152000000
altheavaloper1en3pg92tl3rxhzetg9fx82d2mgc5r97xkrzh6n,Four Moons,0.1,56,19847,0.004041,1765152000000
altheavaloper155850yul0r8sznqxs5nh9m3ymckp3qr7j6ydha,TreeLink,0.05,57,6858,0.001396,1765152000000
altheavaloper1wjkwhdwak3xcgy92u85948g3ld5fqg2lfkdm83,somastaking,0.1,58,6857,0.001396,1765152000000
altheavaloper1wfhw9dh527ay7zhm02ajyp4d5xh880ymyptajf,PresidentSelect,0.1,59,6857,0.001396,1765152000000
altheavaloper18k4pdk63n94axvxddsnglcfddz7uk0cu28fzdu,IRISnet,0.1,60,6514,0.001326,1765152000000
altheavaloper192gu3czvj3x6rp5fe6vl6vsaw95g86uqqa46kg,Snow Fall,0.05,61,5230,0.001065,1765152000000
altheavaloper1pdaqd5nnua6u5v7fdxmhx5nlcpzcku4ax602zs,Endorphine Stake,0.1,62,5227,0.001064,1765152000000
altheavaloper1nz9nznh4x77wva0st6tvatf8skq4ac8mtwttvz,LuckyStar,0.09,62,5003,0.001019,1765152000000
altheavaloper1fcleqh6fa9nxew3ysme982nm4s6fqtuw8yzfgw,GlobalStake,0.1,62,5001,0.001018,1765152000000
altheavaloper10rrh3zxljuyatf0geldtxls36h4y9n50y5dktg,testfld,0.1,62,5001,0.001018,1765152000000
altheavaloper1ew0gpmdxms9ufyzpdsyukxuxltqayfdyn6czt9,AGE Network,0.1,62,1708,0.000348,1765152000000
altheavaloper1ghxuvfde9822njy5ca5aj8k8sphjnr897tj63r,Moon Core,0.05,62,24,0.000005,1765152000000
altheavaloper1llxfuzjajypxuxm2zs4vqetyeumkthymgafxum,2xStake,0.1,62,3,0.000001,1765152000000
altheavaloper15qeyvlxl2rwxmg200fusd3rtgtul9gjdzjgv5c,VALIDARIOS,0.05,62,2,0.000001,1765152000000
altheavaloper1ykm6qk4mzzupqfl9rl4hun5pp4h4kup6f9qe8a, WHEN MOON  WHEN LAMBO  RESTAKE ,0.05,62,2,0,1765152000000
