address,moniker,commission,rank,token,votingPower,timestamp
injvaloper1dknnk0nzap8h07elxays2ecldxq9elu3dzqvqr,decommissioned,1,51,78,0.000001,1765152000000
injvaloper1x2k4l6k57c2rqhyzdef6y9galutn7psegeqylz,50 Validator  Airdrop ,0.05,51,77,0.000001,1765152000000
injvaloper1tly0qyahfpe53jkrxem9lmfcr3f2mmxtgl2kzc,Nala DAO,0.05,51,74,0.000001,1765152000000
injvaloper18kcu6w92u4mq4dsudpcrufdfmtgu7q2r753t72,FinoaConsensusServices,0.1,51,67,0.000001,1765152000000
injvaloper1yqdrkyp37w46aant2u80v2rapuuz7eg3rl4arg,Injective Node 0,0.07,51,50,0.000001,1765152000000
injvaloper1d4ndu7jeeln3qaxuyakazkm7v4kep5qrtdz9k7,Huobi,0.1,51,50,0.000001,1765152000000
injvaloper158m0v02cahrec02q0mlzwwztv95avdh9ldadne,Nebula,0.05,51,49,0.000001,1765152000000
injvaloper10zxm0rklrnurd999xgr4ss8v2q9qsjlfhhk9mk,Orion  AutoCompound  0 Fees,0.05,51,45,0.000001,1765152000000
injvaloper1n5yluh6k9zqv74jw35r5s5zy808xpzfq4ea8jf,DOUBLETOP,0.07,51,39,0.000001,1765152000000
injvaloper13c0m2t3hmaqp43rw0t97utvy5dc7cktes0swce,Bi23 Labs,0.05,51,33,0.000001,1765152000000
injvaloper10gunj074eyp4l8n5kta4w7960nxer2ucvfrdsv,Mblock,0.1,51,30,0.000001,1765152000000
injvaloper125j4jg5d5hs3xvgfn0me69kgdlv9xe9zknvcz4,please redelegate  shutting down,0.05,51,16,0,1765152000000
injvaloper1p5w2pquxj0plswe4jwczxj86tzuupqpydg3n64,Copper,0.088,51,14,0,1765152000000
injvaloper16eg6wf2k6v0lzwu2vsrhxhe0tcycgr7jm98nyz,Notional,0.0969,51,14,0,1765152000000
injvaloper1xwazl8ftks4gn00y5x3c47auquc62ssucyym4v,jabbey,0.1,51,11,0,1765152000000
injvaloper1egc6mep7z8sa0tglm63qzwq4kdgyd8ccapydkt,KDAC,0.1,51,10,0,1765152000000
injvaloper1ejnw6efrt7f6v6n0xhqlpxunlxmpllnusy2gf3,Psycho Node,0.05,51,6,0,1765152000000
