address,moniker,commission,rank,token,votingPower,timestamp
shentuvaloper1hxy0eylmuptdywkw69x867jdd0wn94yyclvtqe,airocket,0.19,54,208001,0.004563,1765152000000
shentuvaloper1r2cfuygnrr9a7plmnh7r5p9ueqsv6jh2m5yp9q,Kynraze,0.2,55,206410,0.004528,1765152000000
shentuvaloper1sxj2lvktwh7298m863lrnym242tglekj6k54y7,gogo,0.2,56,205147,0.0045,1765152000000
shentuvaloper1jrwns20hv4av72qm6dzr96t7g8us0peeqzv88c,Validator247,0.2,57,203206,0.004458,1765152000000
shentuvaloper12nd0d7meqfucnky2pxfuy5hs8y3gymjn4tw80l,kytzu,0.1,58,202002,0.004431,1765152000000
shentuvaloper1e9ldr9gwzm2dzjh053kv99qhzmpvmuwmph0yzw,Qinghua Pool,0.15,59,200052,0.004388,1765152000000
shentuvaloper1pxc959dx3xgez3c9vtr8upctrrjj7p2j24evpc,MotherTech,0.2,60,196811,0.004317,1765152000000
shentuvaloper13q0kk99gqu503637lq23y5aedwp0dv8pccrnjm,Oldcat,0.1,61,194582,0.004268,1765152000000
shentuvaloper1ycv93gthzwgeyq8mckvqmznq60e3gmesrsllwe,VALIDARIOS,0.19,62,193790,0.004251,1765152000000
shentuvaloper16l9wuh0dlzqcu3glaq8rgpj0qt07nu0r7zv8kk,NITAWA,0.2,63,192993,0.004234,1765152000000
shentuvaloper14al24th3wpee4pymq6gsx6gh4e4ujhw7rxl70k,Consensus One,0.05,64,188779,0.004141,1765152000000
shentuvaloper1duztmfdn28n8swwkh0uzx6e4vr8uq5r27q5k3m,Bit Cat,0.1,65,187668,0.004117,1765152000000
shentuvaloper1x27wysrlnppmmwhjeg8evu873fyvvu9zry7365,Seasting,0.1,66,187039,0.004103,1765152000000
shentuvaloper1sy76p9e9lnxn7a46ukpxtrzj7mjnc5j0fvkjx7, The Chicken Coop  Homestead,0.1944,67,184030,0.004037,1765152000000
shentuvaloper16kctxuen3x2avvjj2mdwsl6g8n7d4vjk9up9tq,Badger Bite,0.07,68,182088,0.003994,1765152000000
shentuvaloper1ypvul5pn2qga0pprelr2rcslytgg5jw77zep5e,Binnostake,0.1,69,180885,0.003968,1765152000000
shentuvaloper1jrnns3nkkrzu7qn5xel088488jv6jmuafm2vdh,Shazoes,0.2,70,176090,0.003863,1765152000000
shentuvaloper1j8jsjc9vsefsyqjk96k6xskvy54kzeytne3t78,LuckyResearch Labs,0.2,71,174403,0.003826,1765152000000
shentuvaloper17phrhmkpug3vjdfepwdeuu7uamctlm87ah49kz,OrionX,0.2,72,172942,0.003794,1765152000000
shentuvaloper1m8qkqhmymvq5a8a6wfz35g523rx0pqamuuy7zt,testovich,0.2,73,172810,0.003791,1765152000000
shentuvaloper1lnegpma68sykwdd04npah5lpuacxtj8wyk3p7a,ZenQQQ,0.19,74,172803,0.003791,1765152000000
shentuvaloper1etqwldwm5lzxwm9dnu9kps9cur5eqeddfnhklx,snegkovka5C54178B996FF5D2,0.2,75,170186,0.003733,1765152000000
shentuvaloper1l3zvcvlvfl6wvdqu6tpzdexk9e8vcv5qvkq2rg,gCrypto90,0.2,76,166401,0.00365,1765152000000
shentuvaloper1nf2a5thtp4xaceg9jqlkhvcyzcck5507eg6yrm,Chainnodes,0.2,77,162237,0.003559,1765152000000
shentuvaloper19vrsjqgtyucv6eqekjcwvlqdqekxm299cc8aur,JOHNEE,0.049,78,158865,0.003485,1765152000000
shentuvaloper12kmuarzu04f3fm39pcxqnv9fczdu37zrpn2t95,blxpro,0.1,79,158061,0.003467,1765152000000
shentuvaloper1xfan5wrj9xy2z92kln8t3aa9r46jpm5nc668gk,Vixello,0.05,80,156827,0.00344,1765152000000
shentuvaloper1hdutpn340l29gwl3nyrkxwfdyu8q96zwyu2x2e,ChainodeTech,0.15,81,153601,0.003369,1765152000000
shentuvaloper15tyhytr4ndptz5v8nxh9suftvzcfuyj5ucm036,Gryx,0.12,82,152336,0.003342,1765152000000
shentuvaloper18pwdhgxmuzw3fdyek8hzxdc2cw280vxsr3pazc,SapphireNode,0.2,83,152010,0.003335,1765152000000
shentuvaloper1gtyevmtqymumuwlp2wm5w6hjczpvup3aum6d3s,Quebec,0.05,84,151345,0.00332,1765152000000
shentuvaloper1ysupsv4csulrmen48s8d8hwfy99m798w6megly,MaxFoton nodes,0.07,85,150257,0.003296,1765152000000
shentuvaloper1q0x90n8z3gwj5xv442afjuw8w8l59shd0rzc25,SlSub,0.2,86,150013,0.003291,1765152000000
shentuvaloper10r25h3042qapanlyjk2a6qwj9a59pvw08vu8nw,morkiestakes,0,87,149324,0.003276,1765152000000
shentuvaloper1gt5wvgjekaflaadzj9amjwxy9y0y0wd79f0wug,ShentuDefender,0.2,88,148975,0.003268,1765152000000
shentuvaloper10sv5pjze703006767hh52jqlkamqe7vnygagc5,Cryptonian  Autocompound,0.05,89,144903,0.003179,1765152000000
shentuvaloper1yq8a2ksa7dz8wd8wlks3k8nqdmht76xdkmqzxv,cyberG,0.19,90,143239,0.003142,1765152000000
shentuvaloper176x7ljeyxx2cevmp7uayaz9qcx37nwjjm9f5mr,Army IDs,0.2,91,137930,0.003026,1765152000000
shentuvaloper14nx4jgv0m20ma3w7jkxl697j8xx77ffmnw4ldw,mandezir,0.2,92,137901,0.003025,1765152000000
shentuvaloper10u5dgyhkqe0qwfmektrp8uy6ssawtkrrj27a9u,fishinwarter,0.2,93,136101,0.002986,1765152000000
shentuvaloper1p4ez0qspkjpcz3l6hyhq3uuezcgyl2j9j98yaw,tanzmann,0.2,94,135101,0.002964,1765152000000
shentuvaloper12zmyrggz36cstml5v30ysn2q58xpfay7gwezf9,smert,0.19,95,129602,0.002843,1765152000000
shentuvaloper1dd9gze5wc9lqu9ht6qppmzudgad7su99vjs8nr,deftonena,0.2,96,127301,0.002793,1765152000000
