source,target,messages,txs,channel,timestamp,volume,type
provenance,osmosis,0,0,transfer/channel-7,1764892800000,0,ack
provenance,noble,0,0,transfer/channel-10,1764892800000,0,ack
provenance,cosmos,0,0,transfer/channel-1,1764892800000,0,ack
provenance,cosmos,0,0,transfer/channel-0,1764892800000,0,ack
provenance,osmosis,0,0,transfer/channel-3,1764892800000,0,ack
provenance,osmosis,0,0,transfer/channel-4,1764892800000,0,ack
provenance,osmosis,0,0,transfer/channel-2,1764892800000,0,ack
provenance,osmosis,0,0,transfer/channel-5,1764892800000,0,ack
provenance,cosmos,0,0,transfer/channel-6,1764892800000,0,ack
provenance,pio-cap-mainnet-1,0,0,transfer/channel-8,1764892800000,0,ack
provenance,axelar,0,0,transfer/channel-9,1764892800000,0,ack
provenance,cosmos,0,0,transfer/channel-11,1764892800000,0,ack
provenance,noble,0,0,transfer/channel-12,1764892800000,0,ack
provenance,noble,0,0,transfer/channel-14,1764892800000,0,ack
provenance,osmosis,0,0,transfer/channel-7,1764892800000,0,receive
provenance,noble,0,0,transfer/channel-10,1764892800000,0,receive
provenance,cosmos,0,0,transfer/channel-1,1764892800000,0,receive
provenance,cosmos,0,0,transfer/channel-0,1764892800000,0,receive
provenance,osmosis,0,0,transfer/channel-3,1764892800000,0,receive
provenance,osmosis,0,0,transfer/channel-4,1764892800000,0,receive
provenance,osmosis,0,0,transfer/channel-2,1764892800000,0,receive
provenance,osmosis,0,0,transfer/channel-5,1764892800000,0,receive
provenance,cosmos,0,0,transfer/channel-6,1764892800000,0,receive
provenance,axelar,0,0,transfer/channel-9,1764892800000,0,receive
provenance,cosmos,0,0,transfer/channel-11,1764892800000,0,receive
provenance,noble,0,0,transfer/channel-12,1764892800000,0,receive
provenance,noble,0,0,transfer/channel-14,1764892800000,0,receive
provenance,osmosis,3,3,transfer/channel-7,1764806400000,665.668896462,ack
provenance,noble,0,0,transfer/channel-10,1764806400000,0,ack
provenance,cosmos,0,0,transfer/channel-1,1764806400000,0,ack
provenance,cosmos,0,0,transfer/channel-0,1764806400000,0,ack
provenance,osmosis,0,0,transfer/channel-3,1764806400000,0,ack
provenance,osmosis,0,0,transfer/channel-4,1764806400000,0,ack
provenance,osmosis,0,0,transfer/channel-2,1764806400000,0,ack
provenance,osmosis,0,0,transfer/channel-5,1764806400000,0,ack
provenance,cosmos,0,0,transfer/channel-6,1764806400000,0,ack
provenance,pio-cap-mainnet-1,0,0,transfer/channel-8,1764806400000,0,ack
provenance,axelar,0,0,transfer/channel-9,1764806400000,0,ack
provenance,cosmos,0,0,transfer/channel-11,1764806400000,0,ack
provenance,noble,0,0,transfer/channel-12,1764806400000,0,ack
provenance,noble,0,0,transfer/channel-14,1764806400000,0,ack
provenance,osmosis,12,12,transfer/channel-7,1764806400000,2847.329134689,receive
provenance,noble,0,0,transfer/channel-10,1764806400000,0,receive
provenance,cosmos,0,0,transfer/channel-1,1764806400000,0,receive
provenance,cosmos,0,0,transfer/channel-0,1764806400000,0,receive
provenance,osmosis,0,0,transfer/channel-3,1764806400000,0,receive
provenance,osmosis,0,0,transfer/channel-4,1764806400000,0,receive
provenance,osmosis,0,0,transfer/channel-2,1764806400000,0,receive
provenance,osmosis,0,0,transfer/channel-5,1764806400000,0,receive
provenance,cosmos,0,0,transfer/channel-6,1764806400000,0,receive
provenance,axelar,0,0,transfer/channel-9,1764806400000,0,receive
provenance,cosmos,0,0,transfer/channel-11,1764806400000,0,receive
provenance,noble,0,0,transfer/channel-12,1764806400000,0,receive
provenance,noble,0,0,transfer/channel-14,1764806400000,0,receive
provenance,osmosis,14,13,transfer/channel-7,1764720000000,6671.65808779,ack
provenance,noble,0,0,transfer/channel-10,1764720000000,0,ack
provenance,cosmos,0,0,transfer/channel-1,1764720000000,0,ack
provenance,cosmos,0,0,transfer/channel-0,1764720000000,0,ack
provenance,osmosis,0,0,transfer/channel-3,1764720000000,0,ack
provenance,osmosis,0,0,transfer/channel-4,1764720000000,0,ack
provenance,osmosis,0,0,transfer/channel-2,1764720000000,0,ack
provenance,osmosis,0,0,transfer/channel-5,1764720000000,0,ack
provenance,cosmos,0,0,transfer/channel-6,1764720000000,0,ack
provenance,pio-cap-mainnet-1,0,0,transfer/channel-8,1764720000000,0,ack
provenance,axelar,0,0,transfer/channel-9,1764720000000,0,ack
provenance,cosmos,0,0,transfer/channel-11,1764720000000,0,ack
provenance,noble,0,0,transfer/channel-12,1764720000000,0,ack
provenance,noble,0,0,transfer/channel-14,1764720000000,0,ack
